dataset,outer_fold,model,optimizer,runtime_seconds,best_objective_score,best_params,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,accuracy,balanced_accuracy,f1,roc_auc,demographic_parity_difference,equal_opportunity_difference,subsample,min_child_weight,learning_rate,colsample_bytree,fairness_applicable
bank_marketing,2,xgboost,random,223.6917284999945,0.7026610032797711,"{""subsample"": 1.0, ""n_estimators"": 50, ""min_child_weight"": 5, ""max_depth"": 7, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",50,,,,7.0,0.9042247290422472,0.6929549196133479,0.5045766590389016,0.9233000143954874,0.0,0.0,1.0,5.0,0.1,1.0,False
bank_marketing,2,xgboost,bayesian,352.5107616999885,0.7136498442845874,"{""n_estimators"": ""100"", ""max_depth"": ""7"", ""learning_rate"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""min_child_weight"": ""5""}",100,,,,7.0,0.9053306790533068,0.7083561953023318,0.5270718232044199,0.9290238497087432,0.0,0.0,0.8,5.0,0.1,1.0,False
bank_marketing,3,random_forest,random,827.3017194999993,0.6681624660765842,"{""n_estimators"": 100, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 20}",100,5.0,2.0,sqrt,20.0,0.9065472240654724,0.6830644985623421,0.4949193066347878,0.9230780204075448,0.0,0.0,,,,,False
bank_marketing,3,random_forest,bayesian,585.7860195999965,0.6790604276729965,"{""n_estimators"": ""51"", ""max_depth"": ""20"", ""min_samples_split"": ""2"", ""min_samples_leaf"": ""1""}",51,2.0,1.0,,20.0,0.9067684140676842,0.6856495363127011,0.499108734402852,0.9186400329013412,0.0,0.0,,,,,False
bank_marketing,3,xgboost,random,221.49677680000605,0.6965024474811932,"{""subsample"": 1.0, ""n_estimators"": 50, ""min_child_weight"": 5, ""max_depth"": 7, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",50,,,,7.0,0.9075425790754258,0.7090459273935394,0.5324384787472036,0.9227920633327148,0.0,0.0,1.0,5.0,0.1,1.0,False
bank_marketing,3,xgboost,bayesian,261.6003166000009,0.716032807775952,"{""n_estimators"": ""100"", ""max_depth"": ""7"", ""learning_rate"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""min_child_weight"": ""1""}",100,,,,7.0,0.9061048440610484,0.7172510190513351,0.5398373983739837,0.928114972856867,0.0,0.0,0.8,1.0,0.1,1.0,False
bank_marketing,4,random_forest,random,639.9981664000079,0.6604405658433068,"{""n_estimators"": 100, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 20}",100,5.0,2.0,sqrt,20.0,0.9066578190665782,0.6687783648582609,0.4731585518102372,0.927525537843172,0.0,0.0,,,,,False
bank_marketing,4,random_forest,bayesian,584.5938310999918,0.6671948212069468,"{""n_estimators"": ""50"", ""max_depth"": ""20"", ""min_samples_split"": ""4"", ""min_samples_leaf"": ""1""}",50,4.0,1.0,,20.0,0.9053306790533068,0.6659770391444515,0.4663341645885286,0.9239178972311352,0.0,0.0,,,,,False
bank_marketing,4,xgboost,random,248.01193649999917,0.6890916258619467,"{""subsample"": 1.0, ""n_estimators"": 50, ""min_child_weight"": 5, ""max_depth"": 7, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",50,,,,7.0,0.9076531740765318,0.689430254649185,0.5062093435836783,0.9273180103117388,0.0,0.0,1.0,5.0,0.1,1.0,False
bank_marketing,4,xgboost,bayesian,292.2957097999897,0.7066126287100621,"{""n_estimators"": ""100"", ""max_depth"": ""7"", ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""min_child_weight"": ""1""}",100,,,,7.0,0.9099756690997568,0.7165731510279538,0.5467706013363028,0.9314667851771596,0.0,0.0,1.0,1.0,0.1,1.0,False
bank_marketing,5,random_forest,random,559.2337680000055,0.6740268920645969,"{""n_estimators"": 100, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 20}",100,5.0,2.0,sqrt,20.0,0.9032293740322938,0.6750362729239197,0.4769874476987448,0.9182242083410675,0.0,0.0,,,,,False
bank_marketing,5,random_forest,bayesian,601.2619941000012,0.6769022951613287,"{""n_estimators"": ""100"", ""max_depth"": ""20"", ""min_samples_split"": ""2"", ""min_samples_leaf"": ""1""}",100,2.0,1.0,,20.0,0.90278699402787,0.6805252755037485,0.4844574780058651,0.9192855820336324,0.0,0.0,,,,,False
bank_marketing,5,xgboost,random,252.67843939999875,0.6997996531383787,"{""subsample"": 1.0, ""n_estimators"": 50, ""min_child_weight"": 5, ""max_depth"": 7, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",50,,,,7.0,0.9019022340190224,0.6923232097465252,0.4997179921037789,0.9206310778456724,0.0,0.0,1.0,5.0,0.1,1.0,False
bank_marketing,5,xgboost,bayesian,278.16107719999854,0.7147011919776097,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""learning_rate"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""min_child_weight"": ""1""}",100,,,,6.0,0.902897589028976,0.7084654895802949,0.5228260869565218,0.9234222225168672,0.0,0.0,0.8,1.0,0.1,1.0,False
